Race:1,,1,,"Nabokov
Uncle Mo","Chad C. Brown
Irad Ortiz, Jr.",,2/1
Race:1,,2,,"Digitize
Maclean's Music","Chad C. Brown
Flavien Prat",,8/5
Race:1,,4,,"Predicted
Tapit","Anthony W. Dutrow
Javier Castellano",,4/1
Race:1,,5,,"Cloud Forest
Quality Road","William I. Mott
Jose Lezcano",,5/1
Race:1,,6,,"Braille
Quality Road","Claude R. McGaughey III
Jose L. Ortiz",,6/1
Race:2,,1,,"Sweet Sensation
Tapizar","Thomas Albertrani
Jose L. Ortiz",,8/1
Race:2,,2,,"Lady of Thoroton
Noble Mission (GB)","Chris J. Englehart
Luis Saez",,12/1
Race:2,,3,,"Love's Misery
War Dancer","Rob Atras
Kendrick Carmouche",,7/2
Race:2,,4,,"Act Like Artie
We Miss Artie","Kelly J. Breen
Flavien Prat",,5/2
Race:2,,5,,"Synonymous
Ironicus","John S. Pregman, Jr.
Ruben Silvera",,15/1
Race:2,,6,,"Now Yus Cant Leave
Tonalist","Kelly Rubley
Javier Castellano",,4/1
Race:2,,7,,"Bella Principessa
Constitution","Robert P. Klesaris
Joel Rosario",,9/2
Race:2,,8,,"Linny Kate
Tonalist","Orlando Noda
Trevor McCarthy",,6/1
Race:3,,1,,"Fair to Middlin
Laoban","Joseph Brocklebank
Trevor McCarthy",,8/1
Race:3,,2,,"Got the Gold
Goldencents","Chris J. Englehart
Eric Cancel",,2/1
Race:3,,5,,"Makart
Klimt","James T. Ryerson
Jose Lezcano",,10/1
Race:3,,6,,"Denis
Bank Heist","Eduardo E. Jones
Gary Richards",,15/1
Race:3,,7,,"Hereby
Hard Spun","Christophe Clement
Dylan Davis",,3/1
Race:3,,8,,"Kingstown
Central Banker","Mark A. Hennig
Flavien Prat",,9/2
Race:4,,1,,"Saint Selby
Kantharos","Rob Atras
Kendrick Carmouche",,6/1
Race:4,,2,,"Straw Into Gold
Hard Spun","Christophe Clement
Joel Rosario",,5/2
Race:4,,3,,"Klickitat
First Samurai","Michael J. Maker
Dylan Davis",,9/2
Race:4,,4,,"Chowda
Emcee","Gary Sciacca
Eric Cancel",,20/1
Race:4,,5,,"Not Phar Now
American Pharoah","George Weaver
Flavien Prat",,9/2
Race:4,,6,,"Chulainn
Kantharos","H. Graham Motion
Manuel Franco",,5/1
Race:4,,7,,"Quiet Out East
Broken Vow","Bruce R. Brown
Trevor McCarthy",,20/1
Race:4,,8,,"Panster
Bodemeister","Christophe Clement
Irad Ortiz, Jr.",,7/2
Race:5,,1,,"Hooky Player
Kitten's Joy","Jorge Duarte, Jr.
Manuel Franco",,10/1
Race:5,,2,,"Strike Price
Tapiture","George Weaver
Flavien Prat",,6/1
Race:5,,3,,"Lefty's War
Jess's Dream","Joseph R. Lee
Dylan Davis",,20/1
Race:5,,4,,"Bail Out
Arch","Jeffrey S. Englehart
Luis Saez",,7/5
Race:5,,5,,"Fazaro
Frosted","Andrew O. Williams
Eric Cancel",,20/1
Race:5,,6,,"Kentucky Knight
Speightstown","Amira Chichakly
Luis Cardenas",,30/1
Race:5,,8,,"I Am the Law
Mshawish","John P. Terranova, II
Joel Rosario",,6/5
Race:5,,9,,"Irie Spice
Keen Ice","Randi Persaud
Raul E. Mena",,50/1
Race:6,,1,,"Civil War
Bodemeister","Thomas Albertrani
Dylan Davis",,30/1
Race:6,,2,,"Three Jokers
Twirling Candy","John P. Terranova, II
Luis Saez",,6/1
Race:6,,3,,"Dr Ardito
Liam's Map","Chad C. Brown
Manuel Franco",,2/1
Race:6,,4,,"Perceived
Blame","Rudy R. Rodriguez
Flavien Prat",,8/1
Race:6,,6,,"South Street
Quality Road","William I. Mott
Jose Lezcano",,10/1
Race:6,,7,,"Jerry the Nipper
Liam's Map","Todd A. Pletcher
Irad Ortiz, Jr.",,3/1
Race:6,,8,,"American Rule
Bernardini","Orlando Noda
Jose L. Ortiz",,4/1
Race:7,,1,,"Evvie Jets
Twirling Candy","Mertkan Kantarmaci
Eric Cancel",,30/1
Race:7,,2,,"Love And Thunder (IRE)
Siyouni (FR)","Chad C. Brown
Flavien Prat",,9/2
Race:7,,5,,"King's Harlequin (IRE)
Camelot (GB)","Christophe Clement
Joel Rosario",,9/2
Race:7,,6,,"Champagne Lady
Uncle Mo","Claude R. McGaughey III
Luis Saez",,6/1
Race:7,,7,,"Star Seeking (IRE)
Gleneagles (IRE)","Todd A. Pletcher
Jose L. Ortiz",,4/1
Race:7,,8,,"Miss Dracarys
Malibu Moon","Neil D. Drysdale
Dylan Davis",,6/1
Race:7,,9,,"Flighty Lady (IRE)
Sir Percy (GB)","Chad C. Brown
Irad Ortiz, Jr.",,7/2
Race:7,,10,,"New York Girl (IRE)
New Approach (IRE)","William I. Mott
John R. Velazquez",,6/1
Race:7,,11,,"Fionnbharr
Exchange Rate","Susan S. Cooney
Trevor McCarthy",,30/1
Race:8,,1,,"Dance Code
Honor Code","Juan C. Vazquez
Jose L. Ortiz",,15/1
Race:8,,2,,"Runninsonofagun
Gun Runner","John T. Toscano, Jr.
Luis Saez",,8/1
Race:8,,3,,"Provocateur
Into Mischief","Todd A. Pletcher
Irad Ortiz, Jr.",,5/2
Race:8,,4,,"Fluid Situation
Warrior's Reward","John P. Terranova, II
Joel Rosario",,2/1
Race:8,,5,,"Don't Wait Up
Upstart","Anthony W. Dutrow
John R. Velazquez",,4/1
Race:8,,6,,"Senbei
Candy Ride (ARG)","Christophe Clement
Manuel Franco",,5/2
Race:9,,1,,"Roma Carpe
Carpe Diem","Cleveland Johnson
Omar Hernandez Moreno",,50/1
Race:9,,2,,"Laugh and Play
Into Mischief","Christophe Clement
Irad Ortiz, Jr.",,9/2
Race:9,,3,,"Ricelle
Oxbow","Ricardo E. Legall
Jalon L. Samuel",,30/1
Race:9,,4,,"Mispelled Mooon
Classic Empire","Raymond Handal
Dylan Davis",,4/1
Race:9,,5,,"Silenceofthe Habs
Hit It a Bomb","Linda Rice
Jose Lezcano",,10/1
Race:9,,6,,"Radiant Gem
Summer Front","Robert P. Klesaris
Joel Rosario",,5/1
Race:9,,7,,"Roundabout
Cross Traffic","John P. Terranova, II
Luis Saez",,12/1
Race:9,,8,,"Diamant Damhsa (IRE)
Dandy Man (IRE)","Brad H. Cox
Manuel Franco",,5/1
Race:9,,10,,"Diamond Status
Midshipman","Carlos F. Martin
Jose L. Ortiz",,12/1
Race:9,,11,,"Green Screen Queen
Lemon Drop Kid","Rob Atras
Kendrick Carmouche",,15/1
Race:9,,12,,"Legend's Song
Empire Maker","George Weaver
Flavien Prat",,6/1
Race:1,,1,,"Nabokov
Uncle Mo","Chad C. Brown
Irad Ortiz, Jr.",,2/1
Race:1,,2,,"Digitize
Maclean's Music","Chad C. Brown
Flavien Prat",,8/5
Race:1,,4,,"Predicted
Tapit","Anthony W. Dutrow
Javier Castellano",,4/1
Race:1,,5,,"Cloud Forest
Quality Road","William I. Mott
Jose Lezcano",,5/1
Race:1,,6,,"Braille
Quality Road","Claude R. McGaughey III
Jose L. Ortiz",,6/1
Race:2,,1,,"Sweet Sensation
Tapizar","Thomas Albertrani
Jose L. Ortiz",,8/1
Race:2,,2,,"Lady of Thoroton
Noble Mission (GB)","Chris J. Englehart
Luis Saez",,12/1
Race:2,,3,,"Love's Misery
War Dancer","Rob Atras
Kendrick Carmouche",,7/2
Race:2,,4,,"Act Like Artie
We Miss Artie","Kelly J. Breen
Flavien Prat",,5/2
Race:2,,5,,"Synonymous
Ironicus","John S. Pregman, Jr.
Ruben Silvera",,15/1
Race:2,,6,,"Now Yus Cant Leave
Tonalist","Kelly Rubley
Javier Castellano",,4/1
Race:2,,7,,"Bella Principessa
Constitution","Robert P. Klesaris
Joel Rosario",,9/2
Race:2,,8,,"Linny Kate
Tonalist","Orlando Noda
Trevor McCarthy",,6/1
Race:3,,1,,"Fair to Middlin
Laoban","Joseph Brocklebank
Trevor McCarthy",,8/1
Race:3,,2,,"Got the Gold
Goldencents","Chris J. Englehart
Eric Cancel",,2/1
Race:3,,5,,"Makart
Klimt","James T. Ryerson
Jose Lezcano",,10/1
Race:3,,6,,"Denis
Bank Heist","Eduardo E. Jones
Gary Richards",,15/1
Race:3,,7,,"Hereby
Hard Spun","Christophe Clement
Dylan Davis",,3/1
Race:3,,8,,"Kingstown
Central Banker","Mark A. Hennig
Flavien Prat",,9/2
Race:4,,1,,"Saint Selby
Kantharos","Rob Atras
Kendrick Carmouche",,6/1
Race:4,,2,,"Straw Into Gold
Hard Spun","Christophe Clement
Joel Rosario",,5/2
Race:4,,3,,"Klickitat
First Samurai","Michael J. Maker
Dylan Davis",,9/2
Race:4,,4,,"Chowda
Emcee","Gary Sciacca
Eric Cancel",,20/1
Race:4,,5,,"Not Phar Now
American Pharoah","George Weaver
Flavien Prat",,9/2
Race:4,,6,,"Chulainn
Kantharos","H. Graham Motion
Manuel Franco",,5/1
Race:4,,7,,"Quiet Out East
Broken Vow","Bruce R. Brown
Trevor McCarthy",,20/1
Race:4,,8,,"Panster
Bodemeister","Christophe Clement
Irad Ortiz, Jr.",,7/2
Race:5,,1,,"Hooky Player
Kitten's Joy","Jorge Duarte, Jr.
Manuel Franco",,10/1
Race:5,,2,,"Strike Price
Tapiture","George Weaver
Flavien Prat",,6/1
Race:5,,3,,"Lefty's War
Jess's Dream","Joseph R. Lee
Dylan Davis",,20/1
Race:5,,4,,"Bail Out
Arch","Jeffrey S. Englehart
Luis Saez",,7/5
Race:5,,5,,"Fazaro
Frosted","Andrew O. Williams
Eric Cancel",,20/1
Race:5,,6,,"Kentucky Knight
Speightstown","Amira Chichakly
Luis Cardenas",,30/1
Race:5,,8,,"I Am the Law
Mshawish","John P. Terranova, II
Joel Rosario",,6/5
Race:5,,9,,"Irie Spice
Keen Ice","Randi Persaud
Raul E. Mena",,50/1
Race:6,,1,,"Civil War
Bodemeister","Thomas Albertrani
Dylan Davis",,30/1
Race:6,,2,,"Three Jokers
Twirling Candy","John P. Terranova, II
Luis Saez",,6/1
Race:6,,3,,"Dr Ardito
Liam's Map","Chad C. Brown
Manuel Franco",,2/1
Race:6,,4,,"Perceived
Blame","Rudy R. Rodriguez
Flavien Prat",,8/1
Race:6,,6,,"South Street
Quality Road","William I. Mott
Jose Lezcano",,10/1
Race:6,,7,,"Jerry the Nipper
Liam's Map","Todd A. Pletcher
Irad Ortiz, Jr.",,3/1
Race:6,,8,,"American Rule
Bernardini","Orlando Noda
Jose L. Ortiz",,4/1
Race:7,,1,,"Evvie Jets
Twirling Candy","Mertkan Kantarmaci
Eric Cancel",,30/1
Race:7,,2,,"Love And Thunder (IRE)
Siyouni (FR)","Chad C. Brown
Flavien Prat",,9/2
Race:7,,5,,"King's Harlequin (IRE)
Camelot (GB)","Christophe Clement
Joel Rosario",,9/2
Race:7,,6,,"Champagne Lady
Uncle Mo","Claude R. McGaughey III
Luis Saez",,6/1
Race:7,,7,,"Star Seeking (IRE)
Gleneagles (IRE)","Todd A. Pletcher
Jose L. Ortiz",,4/1
Race:7,,8,,"Miss Dracarys
Malibu Moon","Neil D. Drysdale
Dylan Davis",,6/1
Race:7,,9,,"Flighty Lady (IRE)
Sir Percy (GB)","Chad C. Brown
Irad Ortiz, Jr.",,7/2
Race:7,,10,,"New York Girl (IRE)
New Approach (IRE)","William I. Mott
John R. Velazquez",,6/1
Race:7,,11,,"Fionnbharr
Exchange Rate","Susan S. Cooney
Trevor McCarthy",,30/1
Race:8,,1,,"Dance Code
Honor Code","Juan C. Vazquez
Jose L. Ortiz",,15/1
Race:8,,2,,"Runninsonofagun
Gun Runner","John T. Toscano, Jr.
Luis Saez",,8/1
Race:8,,3,,"Provocateur
Into Mischief","Todd A. Pletcher
Irad Ortiz, Jr.",,5/2
Race:8,,4,,"Fluid Situation
Warrior's Reward","John P. Terranova, II
Joel Rosario",,2/1
Race:8,,5,,"Don't Wait Up
Upstart","Anthony W. Dutrow
John R. Velazquez",,4/1
Race:8,,6,,"Senbei
Candy Ride (ARG)","Christophe Clement
Manuel Franco",,5/2
Race:9,,1,,"Roma Carpe
Carpe Diem","Cleveland Johnson
Omar Hernandez Moreno",,50/1
Race:9,,2,,"Laugh and Play
Into Mischief","Christophe Clement
Irad Ortiz, Jr.",,9/2
Race:9,,3,,"Ricelle
Oxbow","Ricardo E. Legall
Jalon L. Samuel",,30/1
Race:9,,4,,"Mispelled Mooon
Classic Empire","Raymond Handal
Dylan Davis",,4/1
Race:9,,5,,"Silenceofthe Habs
Hit It a Bomb","Linda Rice
Jose Lezcano",,10/1
Race:9,,6,,"Radiant Gem
Summer Front","Robert P. Klesaris
Joel Rosario",,5/1
Race:9,,7,,"Roundabout
Cross Traffic","John P. Terranova, II
Luis Saez",,12/1
Race:9,,8,,"Diamant Damhsa (IRE)
Dandy Man (IRE)","Brad H. Cox
Manuel Franco",,5/1
Race:9,,10,,"Diamond Status
Midshipman","Carlos F. Martin
Jose L. Ortiz",,12/1
Race:9,,11,,"Green Screen Queen
Lemon Drop Kid","Rob Atras
Kendrick Carmouche",,15/1
Race:9,,12,,"Legend's Song
Empire Maker","George Weaver
Flavien Prat",,6/1
Race:1,,1,,"Nabokov
Uncle Mo","Chad C. Brown
Irad Ortiz, Jr.",,2/1
Race:1,,2,,"Digitize
Maclean's Music","Chad C. Brown
Flavien Prat",,8/5
Race:1,,4,,"Predicted
Tapit","Anthony W. Dutrow
Javier Castellano",,4/1
Race:1,,5,,"Cloud Forest
Quality Road","William I. Mott
Jose Lezcano",,5/1
Race:1,,6,,"Braille
Quality Road","Claude R. McGaughey III
Jose L. Ortiz",,6/1
Race:2,,1,,"Sweet Sensation
Tapizar","Thomas Albertrani
Jose L. Ortiz",,8/1
Race:2,,2,,"Lady of Thoroton
Noble Mission (GB)","Chris J. Englehart
Luis Saez",,12/1
Race:2,,3,,"Love's Misery
War Dancer","Rob Atras
Kendrick Carmouche",,7/2
Race:2,,4,,"Act Like Artie
We Miss Artie","Kelly J. Breen
Flavien Prat",,5/2
Race:2,,5,,"Synonymous
Ironicus","John S. Pregman, Jr.
Ruben Silvera",,15/1
Race:2,,6,,"Now Yus Cant Leave
Tonalist","Kelly Rubley
Javier Castellano",,4/1
Race:2,,7,,"Bella Principessa
Constitution","Robert P. Klesaris
Joel Rosario",,9/2
Race:2,,8,,"Linny Kate
Tonalist","Orlando Noda
Trevor McCarthy",,6/1
Race:3,,1,,"Fair to Middlin
Laoban","Joseph Brocklebank
Trevor McCarthy",,8/1
Race:3,,2,,"Got the Gold
Goldencents","Chris J. Englehart
Eric Cancel",,2/1
Race:3,,5,,"Makart
Klimt","James T. Ryerson
Jose Lezcano",,10/1
Race:3,,6,,"Denis
Bank Heist","Eduardo E. Jones
Gary Richards",,15/1
Race:3,,7,,"Hereby
Hard Spun","Christophe Clement
Dylan Davis",,3/1
Race:3,,8,,"Kingstown
Central Banker","Mark A. Hennig
Flavien Prat",,9/2
Race:4,,1,,"Saint Selby
Kantharos","Rob Atras
Kendrick Carmouche",,6/1
Race:4,,2,,"Straw Into Gold
Hard Spun","Christophe Clement
Joel Rosario",,5/2
Race:4,,3,,"Klickitat
First Samurai","Michael J. Maker
Dylan Davis",,9/2
Race:4,,4,,"Chowda
Emcee","Gary Sciacca
Eric Cancel",,20/1
Race:4,,5,,"Not Phar Now
American Pharoah","George Weaver
Flavien Prat",,9/2
Race:4,,6,,"Chulainn
Kantharos","H. Graham Motion
Manuel Franco",,5/1
Race:4,,7,,"Quiet Out East
Broken Vow","Bruce R. Brown
Trevor McCarthy",,20/1
Race:4,,8,,"Panster
Bodemeister","Christophe Clement
Irad Ortiz, Jr.",,7/2
Race:5,,1,,"Hooky Player
Kitten's Joy","Jorge Duarte, Jr.
Manuel Franco",,10/1
Race:5,,2,,"Strike Price
Tapiture","George Weaver
Flavien Prat",,6/1
Race:5,,3,,"Lefty's War
Jess's Dream","Joseph R. Lee
Dylan Davis",,20/1
Race:5,,4,,"Bail Out
Arch","Jeffrey S. Englehart
Luis Saez",,7/5
Race:5,,5,,"Fazaro
Frosted","Andrew O. Williams
Eric Cancel",,20/1
Race:5,,6,,"Kentucky Knight
Speightstown","Amira Chichakly
Luis Cardenas",,30/1
Race:5,,8,,"I Am the Law
Mshawish","John P. Terranova, II
Joel Rosario",,6/5
Race:5,,9,,"Irie Spice
Keen Ice","Randi Persaud
Raul E. Mena",,50/1
Race:6,,1,,"Civil War
Bodemeister","Thomas Albertrani
Dylan Davis",,30/1
Race:6,,2,,"Three Jokers
Twirling Candy","John P. Terranova, II
Luis Saez",,6/1
Race:6,,3,,"Dr Ardito
Liam's Map","Chad C. Brown
Manuel Franco",,2/1
Race:6,,4,,"Perceived
Blame","Rudy R. Rodriguez
Flavien Prat",,8/1
Race:6,,6,,"South Street
Quality Road","William I. Mott
Jose Lezcano",,10/1
Race:6,,7,,"Jerry the Nipper
Liam's Map","Todd A. Pletcher
Irad Ortiz, Jr.",,3/1
Race:6,,8,,"American Rule
Bernardini","Orlando Noda
Jose L. Ortiz",,4/1
Race:7,,1,,"Evvie Jets
Twirling Candy","Mertkan Kantarmaci
Eric Cancel",,30/1
Race:7,,2,,"Love And Thunder (IRE)
Siyouni (FR)","Chad C. Brown
Flavien Prat",,9/2
Race:7,,5,,"King's Harlequin (IRE)
Camelot (GB)","Christophe Clement
Joel Rosario",,9/2
Race:7,,6,,"Champagne Lady
Uncle Mo","Claude R. McGaughey III
Luis Saez",,6/1
Race:7,,7,,"Star Seeking (IRE)
Gleneagles (IRE)","Todd A. Pletcher
Jose L. Ortiz",,4/1
Race:7,,8,,"Miss Dracarys
Malibu Moon","Neil D. Drysdale
Dylan Davis",,6/1
Race:7,,9,,"Flighty Lady (IRE)
Sir Percy (GB)","Chad C. Brown
Irad Ortiz, Jr.",,7/2
Race:7,,10,,"New York Girl (IRE)
New Approach (IRE)","William I. Mott
John R. Velazquez",,6/1
Race:7,,11,,"Fionnbharr
Exchange Rate","Susan S. Cooney
Trevor McCarthy",,30/1
Race:8,,1,,"Dance Code
Honor Code","Juan C. Vazquez
Jose L. Ortiz",,15/1
Race:8,,2,,"Runninsonofagun
Gun Runner","John T. Toscano, Jr.
Luis Saez",,8/1
Race:8,,3,,"Provocateur
Into Mischief","Todd A. Pletcher
Irad Ortiz, Jr.",,5/2
Race:8,,4,,"Fluid Situation
Warrior's Reward","John P. Terranova, II
Joel Rosario",,2/1
Race:8,,5,,"Don't Wait Up
Upstart","Anthony W. Dutrow
John R. Velazquez",,4/1
Race:8,,6,,"Senbei
Candy Ride (ARG)","Christophe Clement
Manuel Franco",,5/2
Race:9,,1,,"Roma Carpe
Carpe Diem","Cleveland Johnson
Omar Hernandez Moreno",,50/1
Race:9,,2,,"Laugh and Play
Into Mischief","Christophe Clement
Irad Ortiz, Jr.",,9/2
Race:9,,3,,"Ricelle
Oxbow","Ricardo E. Legall
Jalon L. Samuel",,30/1
Race:9,,4,,"Mispelled Mooon
Classic Empire","Raymond Handal
Dylan Davis",,4/1
Race:9,,5,,"Silenceofthe Habs
Hit It a Bomb","Linda Rice
Jose Lezcano",,10/1
Race:9,,6,,"Radiant Gem
Summer Front","Robert P. Klesaris
Joel Rosario",,5/1
Race:9,,7,,"Roundabout
Cross Traffic","John P. Terranova, II
Luis Saez",,12/1
Race:9,,8,,"Diamant Damhsa (IRE)
Dandy Man (IRE)","Brad H. Cox
Manuel Franco",,5/1
Race:9,,10,,"Diamond Status
Midshipman","Carlos F. Martin
Jose L. Ortiz",,12/1
Race:9,,11,,"Green Screen Queen
Lemon Drop Kid","Rob Atras
Kendrick Carmouche",,15/1
Race:9,,12,,"Legend's Song
Empire Maker","George Weaver
Flavien Prat",,6/1
